@1462 :- Deafened(x), LightweightFoldable_Wheelchair(x)
@1704 :- VisualDisability(x), LimbMobility(x)
@1703 :- VisualDisability(x), Reach(x)
@1702 :- VisualDisability(x), See_partially(x)
@1712 :- Epilepsy(x), MovementAbility(x)
@1711 :- Epilepsy(x), TactileAbility(x)
@1710 :- Epilepsy(x), SightAbility(x)
@1719 :- Autism(x), TactileAbility(x)
@1718 :- Autism(x), SightAbility(x)
@1717 :- MentalDisability(x), See_partially(x)
@1716 :- MentalDisability(x), See(x)
@1715 :- Autism(x), HearingAbility(x)
@1714 :- MentalDisability(x), Hear_partially(x)
@1713 :- MentalDisability(x), Hear(x)
@1723 :- Scoliosis(x), HearingAbility(x)
@1722 :- Autism(x), MovementAbility(x)
@1721 :- MentalDisability(x), LimbMobility(x)
@1720 :- MentalDisability(x), Reach(x)
@1729 :- Spina_Bifida(x), TactileAbility(x)
@1728 :- Spina_Bifida(x), SightAbility(x)
@1727 :- Spina_Bifida(x), HearingAbility(x)
@1726 :- Scoliosis(x), MovementAbility(x)
@1725 :- Scoliosis(x), TactileAbility(x)
@1724 :- Scoliosis(x), SightAbility(x)
@1734 :- Osteogensis_Imperfecta(x), MovementAbility(x)
@1733 :- Osteogensis_Imperfecta(x), TactileAbility(x)
@1732 :- Osteogensis_Imperfecta(x), SightAbility(x)
@1731 :- Osteogensis_Imperfecta(x), HearingAbility(x)
@1730 :- Spina_Bifida(x), MovementAbility(x)
@1739 :- Poliomyelitis(x), HearingAbility(x)
@1738 :- Achondroplasia(x), MovementAbility(x)
@1737 :- Achondroplasia(x), TactileAbility(x)
@1736 :- Achondroplasia(x), SightAbility(x)
@1735 :- Achondroplasia(x), HearingAbility(x)
@1745 :- Amputation(x), TactileAbility(x)
@1744 :- Amputation(x), SightAbility(x)
@1743 :- Amputation(x), HearingAbility(x)
@1742 :- Poliomyelitis(x), MovementAbility(x)
@1741 :- Poliomyelitis(x), TactileAbility(x)
@1740 :- Poliomyelitis(x), SightAbility(x)
@1749 :- Paraplegia(x), TactileAbility(x)
@1748 :- Paraplegia(x), SightAbility(x)
@1747 :- Paraplegia(x), HearingAbility(x)
@1746 :- Amputation(x), MovementAbility(x)
@1756 :- Kyphosis(x), SightAbility(x)
@1755 :- Kyphosis(x), HearingAbility(x)
@1754 :- Guillaume_Barre(x), MovementAbility(x)
@1753 :- Guillaume_Barre(x), TactileAbility(x)
@1752 :- Guillaume_Barre(x), SightAbility(x)
@1751 :- Guillaume_Barre(x), HearingAbility(x)
@1750 :- Paraplegia(x), MovementAbility(x)
@1759 :- Muscular_dystrophy(x), HearingAbility(x)
@1758 :- Kyphosis(x), MovementAbility(x)
@1757 :- Kyphosis(x), TactileAbility(x)
@1770 :- PhysicalDisability(x), See(x)
@1767 :- Multiple_sclerosis(x), HearingAbility(x)
@1766 :- Cerebral_palsy(x), HearingAbility(x)
@1765 :- Quadriplegia(x), HearingAbility(x)
@1764 :- PhysicalDisability(x), Hear_partially(x)
@1763 :- PhysicalDisability(x), Hear(x)
@1762 :- Muscular_dystrophy(x), MovementAbility(x)
@1761 :- Muscular_dystrophy(x), TactileAbility(x)
@1760 :- Muscular_dystrophy(x), SightAbility(x)
@1769 :- Dystonia(x), HearingAbility(x)
@1768 :- Hemiplegia(x), HearingAbility(x)
@1781 :- Dystonia(x), TactileAbility(x)
@1780 :- Hemiplegia(x), TactileAbility(x)
@1778 :- Cerebral_palsy(x), TactileAbility(x)
@1777 :- Quadriplegia(x), TactileAbility(x)
@1776 :- Dystonia(x), SightAbility(x)
@1775 :- Hemiplegia(x), SightAbility(x)
@1774 :- Multiple_sclerosis(x), SightAbility(x)
@1773 :- Cerebral_palsy(x), SightAbility(x)
@1772 :- Quadriplegia(x), SightAbility(x)
@1771 :- PhysicalDisability(x), See_partially(x)
@1779 :- Multiple_sclerosis(x), TactileAbility(x)
@1792 :- Stuttering(x), HearingAbility(x)
@1791 :- Little_or_No_Speech(x), HearingAbility(x)
@1790 :- SpeechDisability(x), Hear_partially(x)
@1305 :- Blind(x), BraillePillOrganiser(x)
@1789 :- SpeechDisability(x), Hear(x)
@1304 :- Blind(x), BrailleAlarmClock(x)
@1788 :- Dystonia(x), MovementAbility(x)
@1303 :- Blind(x), Talking_Thermometer(x)
@1787 :- Hemiplegia(x), MovementAbility(x)
@1302 :- HearingDisability(x), LightweightFoldable_Wheelchair(x)
@1786 :- Multiple_sclerosis(x), MovementAbility(x)
@1301 :- Deaf(x), Foldable_Wheelchair(x)
@1785 :- PhysicalDisability(x), LimbMobility(x)
@1300 :- Deaf(x), Lightweight_Wheelchair(x)
@1784 :- PhysicalDisability(x), Reach(x)
@1783 :- Cerebral_palsy(x), MovementAbility(x)
@1782 :- Quadriplegia(x), MovementAbility(x)
@1309 :- Blind(x), Foldable_Wheelchair(x)
@1308 :- Blind(x), Lightweight_Wheelchair(x)
@1307 :- Blind(x), BatteryPowered_Wheelchair(x)
@1306 :- Blind(x), BrailleWatch(x)
@1316 :- LowVision(x), Foldable_Wheelchair(x)
@1315 :- LowVision(x), Lightweight_Wheelchair(x)
@1799 :- SpeechDisability(x), Reach(x)
@1314 :- LowVision(x), BatteryPowered_Wheelchair(x)
@1798 :- Stuttering(x), TactileAbility(x)
@1313 :- LowVision(x), BrailleWatch(x)
@1797 :- Little_or_No_Speech(x), TactileAbility(x)
@1312 :- LowVision(x), BraillePillOrganiser(x)
@1796 :- Stuttering(x), SightAbility(x)
@1311 :- LowVision(x), BrailleAlarmClock(x)
@1795 :- Little_or_No_Speech(x), SightAbility(x)
@1310 :- LowVision(x), Talking_Thermometer(x)
@1794 :- SpeechDisability(x), See_partially(x)
@1793 :- SpeechDisability(x), See(x)
@1319 :- IntellectualDisability(x), BrailleAlarmClock(x)
@1318 :- IntellectualDisability(x), Talking_Thermometer(x)
@1317 :- VisualDisability(x), LightweightFoldable_Wheelchair(x)
@1330 :- Epilepsy(x), Lightweight_Wheelchair(x)
@1327 :- Epilepsy(x), BraillePillOrganiser(x)
@1326 :- Epilepsy(x), BrailleAlarmClock(x)
@1325 :- Epilepsy(x), Talking_Thermometer(x)
@1324 :- IntellectualDisability(x), Foldable_Wheelchair(x)
@1323 :- IntellectualDisability(x), Lightweight_Wheelchair(x)
@1322 :- IntellectualDisability(x), BatteryPowered_Wheelchair(x)
@1321 :- IntellectualDisability(x), BrailleWatch(x)
@1320 :- IntellectualDisability(x), BraillePillOrganiser(x)
@900 :- Epilepsy(x), ListenDevice(x)
@901 :- Epilepsy(x), SpeechDevice(x)
@902 :- Epilepsy(x), ReadingDevice(x)
@903 :- Epilepsy(x), WritingDevice(x)
@904 :- Epilepsy(x), FaceToFaceCommunicationDevice(x)
@905 :- Epilepsy(x), Wheelchair(x)
@1329 :- Epilepsy(x), BatteryPowered_Wheelchair(x)
@906 :- MentalDisability(x), TelephoneAid(x)
@1328 :- Epilepsy(x), BrailleWatch(x)
@907 :- Autism(x), ListenDevice(x)
@908 :- Autism(x), SpeechDevice(x)
@909 :- MentalDisability(x), TalkingReading(x)
@1341 :- Scoliosis(x), BrailleAlarmClock(x)
@1340 :- Scoliosis(x), Talking_Thermometer(x)
@1338 :- Autism(x), Lightweight_Wheelchair(x)
@1337 :- MentalDisability(x), LightweightFoldable_Wheelchair(x)
@1336 :- Autism(x), BatteryPowered_Wheelchair(x)
@1335 :- Autism(x), BrailleWatch(x)
@1334 :- Autism(x), BraillePillOrganiser(x)
@1333 :- Autism(x), BrailleAlarmClock(x)
@1332 :- Autism(x), Talking_Thermometer(x)
@1331 :- Epilepsy(x), Foldable_Wheelchair(x)
@910 :- MentalDisability(x), TactileReading(x)
@911 :- Autism(x), ReadingDevice(x)
@912 :- MentalDisability(x), BrailleWritingDevice(x)
@913 :- Autism(x), WritingDevice(x)
@914 :- MentalDisability(x), FaceToFaceCommunicationSoftware(x)
@915 :- MentalDisability(x), SymbolBoard(x)
@916 :- Autism(x), FaceToFaceCommunicationDevice(x)
@917 :- MentalDisability(x), Motorised_Wheelchair(x)
@1339 :- Autism(x), Foldable_Wheelchair(x)
@918 :- MentalDisability(x), Manual_Wheelchair(x)
@919 :- Autism(x), Wheelchair(x)
@1352 :- Spina_Bifida(x), Lightweight_Wheelchair(x)
@1351 :- Spina_Bifida(x), BatteryPowered_Wheelchair(x)
@1350 :- Spina_Bifida(x), BrailleWatch(x)
@1349 :- Spina_Bifida(x), BraillePillOrganiser(x)
@1348 :- Spina_Bifida(x), BrailleAlarmClock(x)
@1347 :- Spina_Bifida(x), Talking_Thermometer(x)
@1346 :- Scoliosis(x), Foldable_Wheelchair(x)
@1345 :- Scoliosis(x), Lightweight_Wheelchair(x)
@1344 :- Scoliosis(x), BatteryPowered_Wheelchair(x)
@1343 :- Scoliosis(x), BrailleWatch(x)
@920 :- Scoliosis(x), ListenDevice(x)
@1342 :- Scoliosis(x), BraillePillOrganiser(x)
@921 :- Scoliosis(x), SpeechDevice(x)
@922 :- Scoliosis(x), ReadingDevice(x)
@923 :- Scoliosis(x), WritingDevice(x)
@924 :- Scoliosis(x), FaceToFaceCommunicationDevice(x)
@925 :- Scoliosis(x), Wheelchair(x)
@926 :- Spina_Bifida(x), ListenDevice(x)
@927 :- Spina_Bifida(x), SpeechDevice(x)
@928 :- Spina_Bifida(x), ReadingDevice(x)
@929 :- Spina_Bifida(x), WritingDevice(x)
@1363 :- Achondroplasia(x), BraillePillOrganiser(x)
@1362 :- Achondroplasia(x), BrailleAlarmClock(x)
@1361 :- Achondroplasia(x), Talking_Thermometer(x)
@1360 :- Osteogensis_Imperfecta(x), Foldable_Wheelchair(x)
@1359 :- Osteogensis_Imperfecta(x), Lightweight_Wheelchair(x)
@2206 :- Dystonia(x), Deaf(x)
@1358 :- Osteogensis_Imperfecta(x), BatteryPowered_Wheelchair(x)
@2205 :- Hemiplegia(x), Deaf(x)
@1357 :- Osteogensis_Imperfecta(x), BrailleWatch(x)
@2204 :- Multiple_sclerosis(x), Deaf(x)
@1356 :- Osteogensis_Imperfecta(x), BraillePillOrganiser(x)
@2203 :- Cerebral_palsy(x), Deaf(x)
@1355 :- Osteogensis_Imperfecta(x), BrailleAlarmClock(x)
@2202 :- Quadriplegia(x), Deaf(x)
@930 :- Spina_Bifida(x), FaceToFaceCommunicationDevice(x)
@1354 :- Osteogensis_Imperfecta(x), Talking_Thermometer(x)
@2201 :- Muscular_dystrophy(x), Deaf(x)
@931 :- Spina_Bifida(x), Wheelchair(x)
@1353 :- Spina_Bifida(x), Foldable_Wheelchair(x)
@2200 :- Kyphosis(x), Deaf(x)
@932 :- Osteogensis_Imperfecta(x), ListenDevice(x)
@933 :- Osteogensis_Imperfecta(x), SpeechDevice(x)
@934 :- Osteogensis_Imperfecta(x), ReadingDevice(x)
@935 :- Osteogensis_Imperfecta(x), WritingDevice(x)
@936 :- Osteogensis_Imperfecta(x), FaceToFaceCommunicationDevice(x)
@937 :- Osteogensis_Imperfecta(x), Wheelchair(x)
@938 :- Achondroplasia(x), ListenDevice(x)
@939 :- Achondroplasia(x), SpeechDevice(x)
@1374 :- Poliomyelitis(x), Foldable_Wheelchair(x)
@1373 :- Poliomyelitis(x), Lightweight_Wheelchair(x)
@1372 :- Poliomyelitis(x), BatteryPowered_Wheelchair(x)
@1371 :- Poliomyelitis(x), BrailleWatch(x)
@1370 :- Poliomyelitis(x), BraillePillOrganiser(x)
@1369 :- Poliomyelitis(x), BrailleAlarmClock(x)
@1368 :- Poliomyelitis(x), Talking_Thermometer(x)
@1367 :- Achondroplasia(x), Foldable_Wheelchair(x)
@940 :- Achondroplasia(x), ReadingDevice(x)
@1366 :- Achondroplasia(x), Lightweight_Wheelchair(x)
@941 :- Achondroplasia(x), WritingDevice(x)
@1365 :- Achondroplasia(x), BatteryPowered_Wheelchair(x)
@942 :- Achondroplasia(x), FaceToFaceCommunicationDevice(x)
@1364 :- Achondroplasia(x), BrailleWatch(x)
@943 :- Achondroplasia(x), Wheelchair(x)
@944 :- Poliomyelitis(x), ListenDevice(x)
@945 :- Poliomyelitis(x), SpeechDevice(x)
@946 :- Poliomyelitis(x), ReadingDevice(x)
@947 :- Poliomyelitis(x), WritingDevice(x)
@948 :- Poliomyelitis(x), FaceToFaceCommunicationDevice(x)
@949 :- Poliomyelitis(x), Wheelchair(x)
@1385 :- Paraplegia(x), BrailleWatch(x)
@1384 :- Paraplegia(x), BraillePillOrganiser(x)
@1383 :- Paraplegia(x), BrailleAlarmClock(x)
@1382 :- Paraplegia(x), Talking_Thermometer(x)
@1381 :- Amputation(x), Foldable_Wheelchair(x)
@1380 :- Amputation(x), Lightweight_Wheelchair(x)
@1379 :- Amputation(x), BatteryPowered_Wheelchair(x)
@950 :- Amputation(x), ListenDevice(x)
@1378 :- Amputation(x), BrailleWatch(x)
@951 :- Amputation(x), SpeechDevice(x)
@1377 :- Amputation(x), BraillePillOrganiser(x)
@952 :- Amputation(x), ReadingDevice(x)
@1376 :- Amputation(x), BrailleAlarmClock(x)
@953 :- Amputation(x), WritingDevice(x)
@1375 :- Amputation(x), Talking_Thermometer(x)
@954 :- Amputation(x), FaceToFaceCommunicationDevice(x)
@955 :- Amputation(x), Wheelchair(x)
@956 :- Paraplegia(x), ListenDevice(x)
@957 :- Paraplegia(x), SpeechDevice(x)
@958 :- Paraplegia(x), ReadingDevice(x)
@959 :- Paraplegia(x), WritingDevice(x)
@1396 :- Kyphosis(x), Talking_Thermometer(x)
@1395 :- Guillaume_Barre(x), Foldable_Wheelchair(x)
@1394 :- Guillaume_Barre(x), Lightweight_Wheelchair(x)
@1393 :- Guillaume_Barre(x), BatteryPowered_Wheelchair(x)
@1392 :- Guillaume_Barre(x), BrailleWatch(x)
@1391 :- Guillaume_Barre(x), BraillePillOrganiser(x)
@1390 :- Guillaume_Barre(x), BrailleAlarmClock(x)
@960 :- Paraplegia(x), FaceToFaceCommunicationDevice(x)
@961 :- Paraplegia(x), Wheelchair(x)
@1389 :- Guillaume_Barre(x), Talking_Thermometer(x)
@962 :- Guillaume_Barre(x), ListenDevice(x)
@1388 :- Paraplegia(x), Foldable_Wheelchair(x)
@963 :- Guillaume_Barre(x), SpeechDevice(x)
@1387 :- Paraplegia(x), Lightweight_Wheelchair(x)
@964 :- Guillaume_Barre(x), ReadingDevice(x)
@1386 :- Paraplegia(x), BatteryPowered_Wheelchair(x)
@965 :- Guillaume_Barre(x), WritingDevice(x)
@966 :- Guillaume_Barre(x), FaceToFaceCommunicationDevice(x)
@967 :- Guillaume_Barre(x), Wheelchair(x)
@968 :- Kyphosis(x), ListenDevice(x)
@969 :- Kyphosis(x), SpeechDevice(x)
@970 :- Kyphosis(x), ReadingDevice(x)
@971 :- Kyphosis(x), WritingDevice(x)
@972 :- Kyphosis(x), FaceToFaceCommunicationDevice(x)
@973 :- Kyphosis(x), Wheelchair(x)
@1399 :- Kyphosis(x), BrailleWatch(x)
@974 :- Muscular_dystrophy(x), ListenDevice(x)
@1398 :- Kyphosis(x), BraillePillOrganiser(x)
@975 :- Muscular_dystrophy(x), SpeechDevice(x)
@1397 :- Kyphosis(x), BrailleAlarmClock(x)
@976 :- Muscular_dystrophy(x), ReadingDevice(x)
@977 :- Muscular_dystrophy(x), WritingDevice(x)
@978 :- Muscular_dystrophy(x), FaceToFaceCommunicationDevice(x)
@979 :- Muscular_dystrophy(x), Wheelchair(x)
@980 :- PhysicalDisability(x), TelephoneAid(x)
@981 :- Quadriplegia(x), ListenDevice(x)
@982 :- Cerebral_palsy(x), ListenDevice(x)
@983 :- Multiple_sclerosis(x), ListenDevice(x)
@500 :- BraillePillOrganiser(x), HearingAbility(x)
@984 :- Hemiplegia(x), ListenDevice(x)
@501 :- BraillePillOrganiser(x), SightAbility(x)
@985 :- Dystonia(x), ListenDevice(x)
@502 :- BraillePillOrganiser(x), TactileAbility(x)
@986 :- Quadriplegia(x), SpeechDevice(x)
@503 :- BraillePillOrganiser(x), MovementAbility(x)
@987 :- Cerebral_palsy(x), SpeechDevice(x)
@504 :- TactileReading(x), Hear(x)
@988 :- Multiple_sclerosis(x), SpeechDevice(x)
@505 :- TactileReading(x), Hear_partially(x)
@989 :- Hemiplegia(x), SpeechDevice(x)
@506 :- BrailleWatch(x), HearingAbility(x)
@507 :- TactileReading(x), See(x)
@508 :- TactileReading(x), See_partially(x)
@509 :- BrailleWatch(x), SightAbility(x)
@990 :- Dystonia(x), SpeechDevice(x)
@991 :- PhysicalDisability(x), TalkingReading(x)
@992 :- PhysicalDisability(x), TactileReading(x)
@993 :- Quadriplegia(x), ReadingDevice(x)
@510 :- BrailleWatch(x), TactileAbility(x)
@994 :- Cerebral_palsy(x), ReadingDevice(x)
@511 :- TactileReading(x), Reach(x)
@995 :- Multiple_sclerosis(x), ReadingDevice(x)
@512 :- TactileReading(x), LimbMobility(x)
@996 :- Hemiplegia(x), ReadingDevice(x)
@513 :- BrailleWatch(x), MovementAbility(x)
@997 :- Dystonia(x), ReadingDevice(x)
@514 :- ReadingDevice(x), LowerLimbMobility(x)
@998 :- PhysicalDisability(x), BrailleWritingDevice(x)
@515 :- ReadingDevice(x), UpperLimbMobility(x)
@999 :- Quadriplegia(x), WritingDevice(x)
@516 :- BrailleWritingDevice(x), Hear(x)
@517 :- BrailleWritingDevice(x), Hear_partially(x)
@518 :- BrailleWritingDevice(x), See(x)
@519 :- BrailleWritingDevice(x), See_partially(x)
@520 :- BrailleWritingDevice(x), Reach(x)
@521 :- BrailleWritingDevice(x), LimbMobility(x)
@522 :- WritingDevice(x), LowerLimbMobility(x)
@523 :- WritingDevice(x), UpperLimbMobility(x)
@524 :- FaceToFaceCommunicationSoftware(x), Hear(x)
@525 :- SymbolBoard(x), Hear(x)
@526 :- FaceToFaceCommunicationSoftware(x), Hear_partially(x)
@527 :- SymbolBoard(x), Hear_partially(x)
@528 :- FaceToFaceCommunicationSoftware(x), See(x)
@529 :- SymbolBoard(x), See(x)
@530 :- FaceToFaceCommunicationSoftware(x), See_partially(x)
@531 :- SymbolBoard(x), See_partially(x)
@532 :- FaceToFaceCommunicationSoftware(x), Reach(x)
@533 :- SymbolBoard(x), Reach(x)
@534 :- FaceToFaceCommunicationDevice(x), LowerLimbMobility(x)
@535 :- FaceToFaceCommunicationDevice(x), UpperLimbMobility(x)
@536 :- FaceToFaceCommunicationSoftware(x), LimbMobility(x)
@537 :- SymbolBoard(x), LimbMobility(x)
@538 :- Motorised_Wheelchair(x), Hear(x)
@539 :- Manual_Wheelchair(x), Hear(x)
@540 :- Motorised_Wheelchair(x), Hear_partially(x)
@541 :- Manual_Wheelchair(x), Hear_partially(x)
@542 :- BatteryPowered_Wheelchair(x), HearingAbility(x)
@543 :- Lightweight_Wheelchair(x), HearingAbility(x)
@544 :- Foldable_Wheelchair(x), HearingAbility(x)
@545 :- Motorised_Wheelchair(x), See(x)
@546 :- Manual_Wheelchair(x), See(x)
@547 :- Motorised_Wheelchair(x), See_partially(x)
@548 :- Manual_Wheelchair(x), See_partially(x)
@549 :- BatteryPowered_Wheelchair(x), SightAbility(x)
@550 :- Lightweight_Wheelchair(x), SightAbility(x)
@551 :- Foldable_Wheelchair(x), SightAbility(x)
@552 :- BatteryPowered_Wheelchair(x), TactileAbility(x)
@553 :- LightweightFoldable_Wheelchair(x), SensoryAbility(x)
@554 :- Lightweight_Wheelchair(x), TactileAbility(x)
@555 :- Foldable_Wheelchair(x), TactileAbility(x)
@556 :- Motorised_Wheelchair(x), Reach(x)
@557 :- Manual_Wheelchair(x), Reach(x)
@558 :- Wheelchair(x), LowerLimbMobility(x)
@559 :- Wheelchair(x), UpperLimbMobility(x)
@560 :- Motorised_Wheelchair(x), LimbMobility(x)
@561 :- Manual_Wheelchair(x), LimbMobility(x)
@562 :- BatteryPowered_Wheelchair(x), MovementAbility(x)
@563 :- Lightweight_Wheelchair(x), MovementAbility(x)
@564 :- Foldable_Wheelchair(x), MovementAbility(x)
@565 :- LightweightFoldable_Wheelchair(x), PhysicalAbility(x)
@566 :- TelephoneAid(x), LowerLimbMobility(x)
@567 :- TelephoneAid(x), UpperLimbMobility(x)
@568 :- Talking_Thermometer(x), Hear(x)
@569 :- Talking_Thermometer(x), Hear_partially(x)
@570 :- Talking_Thermometer(x), See(x)
@571 :- Talking_Thermometer(x), See_partially(x)
@572 :- Talking_Thermometer(x), Reach(x)
@573 :- Talking_Thermometer(x), LimbMobility(x)
@574 :- TalkingReading(x), LowerLimbMobility(x)
@575 :- TalkingReading(x), UpperLimbMobility(x)
@576 :- BrailleAlarmClock(x), Hear(x)
@577 :- BrailleAlarmClock(x), Hear_partially(x)
@578 :- BrailleAlarmClock(x), See(x)
@579 :- BrailleAlarmClock(x), See_partially(x)
@580 :- BrailleAlarmClock(x), Reach(x)
@581 :- BrailleAlarmClock(x), LimbMobility(x)
@582 :- BraillePillOrganiser(x), Hear(x)
@583 :- BraillePillOrganiser(x), Hear_partially(x)
@100 :- See_partially(x), Reach(x)
@584 :- BraillePillOrganiser(x), See(x)
@101 :- See_partially(x), LimbMobility(x)
@585 :- BraillePillOrganiser(x), See_partially(x)
@102 :- SightAbility(x), LowerLimbMobility(x)
@586 :- BraillePillOrganiser(x), Reach(x)
@103 :- SightAbility(x), UpperLimbMobility(x)
@587 :- BraillePillOrganiser(x), LimbMobility(x)
@104 :- TactileAbility(x), LowerLimbMobility(x)
@588 :- BrailleWatch(x), Hear(x)
@105 :- TactileAbility(x), UpperLimbMobility(x)
@589 :- BrailleWatch(x), Hear_partially(x)
@106 :- Hear(x), LowerLimbMobility(x)
@107 :- Hear(x), UpperLimbMobility(x)
@108 :- Hear_partially(x), LowerLimbMobility(x)
@109 :- Hear_partially(x), UpperLimbMobility(x)
@590 :- BrailleWatch(x), See(x)
@591 :- BrailleWatch(x), See_partially(x)
@592 :- BrailleWatch(x), Reach(x)
@593 :- TactileReading(x), LowerLimbMobility(x)
@110 :- See(x), LowerLimbMobility(x)
@594 :- TactileReading(x), UpperLimbMobility(x)
@111 :- See(x), UpperLimbMobility(x)
@595 :- BrailleWatch(x), LimbMobility(x)
@112 :- See_partially(x), LowerLimbMobility(x)
@596 :- BrailleWritingDevice(x), LowerLimbMobility(x)
@113 :- See_partially(x), UpperLimbMobility(x)
@597 :- BrailleWritingDevice(x), UpperLimbMobility(x)
@114 :- SpeechDisability(x), PhysicalDisability(x)
@598 :- FaceToFaceCommunicationSoftware(x), LowerLimbMobility(x)
@115 :- SpeechDisability(x), Scoliosis(x)
@599 :- SymbolBoard(x), LowerLimbMobility(x)
@116 :- SpeechDisability(x), Spina_Bifida(x)
@117 :- SpeechDisability(x), Osteogensis_Imperfecta(x)
@118 :- SpeechDisability(x), Achondroplasia(x)
@119 :- SpeechDisability(x), Poliomyelitis(x)
@120 :- Little_or_No_Speech(x), PhysicalDisability(x)
@121 :- Stuttering(x), PhysicalDisability(x)
@122 :- SpeechDisability(x), Amputation(x)
@123 :- SpeechDisability(x), Paraplegia(x)
@124 :- SpeechDisability(x), Guillaume_Barre(x)
@125 :- SpeechDisability(x), Kyphosis(x)
@126 :- SpeechDisability(x), Muscular_dystrophy(x)
@127 :- SpeechDisability(x), Quadriplegia(x)
@128 :- SpeechDisability(x), Cerebral_palsy(x)
@129 :- SpeechDisability(x), Multiple_sclerosis(x)
@130 :- SpeechDisability(x), Hemiplegia(x)
@131 :- SpeechDisability(x), Dystonia(x)
@132 :- Little_or_No_Speech(x), Scoliosis(x)
@133 :- Stuttering(x), Scoliosis(x)
@134 :- Little_or_No_Speech(x), Spina_Bifida(x)
@135 :- Stuttering(x), Spina_Bifida(x)
@136 :- Little_or_No_Speech(x), Osteogensis_Imperfecta(x)
@137 :- Stuttering(x), Osteogensis_Imperfecta(x)
@138 :- Little_or_No_Speech(x), Achondroplasia(x)
@139 :- Stuttering(x), Achondroplasia(x)
@1809 :- Hard_of_hearing(x), Reach(x)
@140 :- Little_or_No_Speech(x), Poliomyelitis(x)
@141 :- Stuttering(x), Poliomyelitis(x)
@142 :- Little_or_No_Speech(x), Amputation(x)
@143 :- Little_or_No_Speech(x), Paraplegia(x)
@1800 :- Disability(x), LowerLimbMobility(x)
@144 :- Little_or_No_Speech(x), Guillaume_Barre(x)
@145 :- Little_or_No_Speech(x), Kyphosis(x)
@146 :- Little_or_No_Speech(x), Muscular_dystrophy(x)
@147 :- Little_or_No_Speech(x), Quadriplegia(x)
@148 :- Little_or_No_Speech(x), Cerebral_palsy(x)
@149 :- Little_or_No_Speech(x), Multiple_sclerosis(x)
@1808 :- Hard_of_hearing(x), See_partially(x)
@1807 :- Hard_of_hearing(x), See(x)
@1806 :- Hard_of_hearing(x), Hear_partially(x)
@1805 :- Hard_of_hearing(x), Hear(x)
@1804 :- Stuttering(x), MovementAbility(x)
@1803 :- Little_or_No_Speech(x), MovementAbility(x)
@1802 :- SpeechDisability(x), LimbMobility(x)
@1801 :- Disability(x), UpperLimbMobility(x)
@150 :- Little_or_No_Speech(x), Hemiplegia(x)
@151 :- Little_or_No_Speech(x), Dystonia(x)
@152 :- Stuttering(x), Amputation(x)
@153 :- Stuttering(x), Paraplegia(x)
@154 :- Stuttering(x), Guillaume_Barre(x)
@1811 :- Deafened(x), Hear(x)
@155 :- Stuttering(x), Kyphosis(x)
@1810 :- Hard_of_hearing(x), LimbMobility(x)
@156 :- Stuttering(x), Muscular_dystrophy(x)
@157 :- Stuttering(x), Quadriplegia(x)
@158 :- Stuttering(x), Cerebral_palsy(x)
@159 :- Stuttering(x), Multiple_sclerosis(x)
@1819 :- Deaf(x), See(x)
@1818 :- Deaf(x), Hear_partially(x)
@1817 :- Deaf(x), Hear(x)
@1816 :- Deafened(x), LimbMobility(x)
@1815 :- Deafened(x), Reach(x)
@1814 :- Deafened(x), See_partially(x)
@1813 :- Deafened(x), See(x)
@1812 :- Deafened(x), Hear_partially(x)
@160 :- Stuttering(x), Hemiplegia(x)
@161 :- Stuttering(x), Dystonia(x)
@162 :- VisualDisability(x), PhysicalDisability(x)
@163 :- VisualDisability(x), Scoliosis(x)
@164 :- VisualDisability(x), Spina_Bifida(x)
@165 :- VisualDisability(x), Osteogensis_Imperfecta(x)
@1822 :- Deaf(x), LimbMobility(x)
@166 :- VisualDisability(x), Achondroplasia(x)
@1821 :- Deaf(x), Reach(x)
@167 :- Blind(x), PhysicalDisability(x)
@1820 :- Deaf(x), See_partially(x)
@168 :- VisualDisability(x), Poliomyelitis(x)
@169 :- VisualDisability(x), Amputation(x)
@1829 :- Blind(x), Reach(x)
@1828 :- Blind(x), See_partially(x)
@1827 :- Blind(x), See(x)
@1826 :- Blind(x), Hear_partially(x)
@1825 :- Blind(x), Hear(x)
@1824 :- HearingDisability(x), UpperLimbMobility(x)
@1823 :- HearingDisability(x), LowerLimbMobility(x)
@170 :- LowVision(x), PhysicalDisability(x)
@171 :- VisualDisability(x), Paraplegia(x)
@172 :- VisualDisability(x), Guillaume_Barre(x)
@173 :- VisualDisability(x), Kyphosis(x)
@174 :- VisualDisability(x), Muscular_dystrophy(x)
@175 :- VisualDisability(x), Quadriplegia(x)
@176 :- VisualDisability(x), Cerebral_palsy(x)
@1833 :- LowVision(x), See(x)
@177 :- VisualDisability(x), Multiple_sclerosis(x)
@1832 :- LowVision(x), Hear_partially(x)
@178 :- VisualDisability(x), Hemiplegia(x)
@1831 :- LowVision(x), Hear(x)
@179 :- VisualDisability(x), Dystonia(x)
@1830 :- Blind(x), LimbMobility(x)
@1839 :- IntellectualDisability(x), Hear(x)
@1838 :- VisualDisability(x), UpperLimbMobility(x)
@1837 :- VisualDisability(x), LowerLimbMobility(x)
@1836 :- LowVision(x), LimbMobility(x)
@1835 :- LowVision(x), Reach(x)
@1834 :- LowVision(x), See_partially(x)
@180 :- Blind(x), Scoliosis(x)
